brand_name,ingredient_formula,price_usd,product_labels,product_name,ratings
Blue Buffalo,"Deboned Chicken, Deboned Turkey, Potatoes, Vegetable Glycerin, Gelatin, Natural Flavor, Salt, preserved with Phosphoric Acid, Sorbic Acid, Citric Acid and Mixed Tocopherols, Oil of Rosemary.",2.96,Grain Free Cat Treats,"Blue Buffalo Blue Wilderness Chicken & Turkey Cat Treats, 2 oz.",4.5
PureBites,American Sourced Wild-Caught Human Grade Shrimp.,11.59,Crunchy Cat Treats,"PureBites Freeze Dried Shrimp Cat Treats, 0.8 oz.",4.5
Leaps & Bounds,Not Provided,12.99,Catnip & Cat Grass,"Leaps & Bounds Fuzzy Mice Cat Toys with Catnip, Medium, Pack of 12",4.6
Gimborn,Not Provided,6.99,Catnip & Cat Grass,Gimborn CatA'bout Cat Grass Plus,4.3
Tiki Cat,"Chicken, chickpea flour, tuna, vegetable glycerin, whole ground potatoes, tapioca starch, sugar, natural chicken flavor, gelatin, menhaden fish oil, citric acid (preservative), vinegar, salt, phosphoric acid, mixed tocopherols (preservative), rosemary extract.",3.59,Kitten Treats,"Tiki Cat Baby Soft & Chewy Chicken Flavored Wet Cat Treats, 2 oz.",4.1
Friskies,"Fish, Chicken Meal, Rice, Poultry By-product Meal, Corn Gluten Meal, Animal Fat Preserved With Mixed-tocopherols, Wheat Flour, Natural Flavor, Pea Starch, Barley, Salmon, Dried Yeast, Phosphoric Acid, Malted Barley Extract, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, Dehydrated Seaweed Meal, Sunflower Meal, Vitamins (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Dried Carrots, Dried Peas, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Citric Acid. E623118.",5.99,Crunchy Cat Treats,"Friskies Natural Party Mix Yums With Real Salmon Cat Treats, 20 oz.",4.9
Blue Buffalo,"Deboned Chicken, Chicken Meal, Potato Starch, Peas, Brewers Dried Yeast, Chicken Fat, Natural Flavor, Citric Acid, Potassium Chloride, preserved with Mixed Tocopherols, Oil of Rosemary.",1.94,Crunchy Cat Treats,"Blue Buffalo Blue Wilderness Chicken Flavor Crunchy Cat Treats, 2 oz.",4.8
Fancy Feast,"Liver Flavor, Beef Fat Preserved With Mixed-Tocopherols, Partially Hydrogenated Vegetable Oil, Brewers Dried Yeast, Tuna Flavor. A642421.",2.99,Cat Treats,"Fancy Feast Savory Cravings Limited Ingredient Tuna Flavor Cat Treats, 1 oz.",4.3
Applaws,Tuna Loin.,3.39,Natural Cat Treats,"Applaws Natural Whole Tuna Loin Cat Treat, 1.06 oz.",4.9
WholeHearted,"Chicken Meal, Potato Starch, Rice Flour, Bone Marrow Fat, Chicken, Tapioca, Chicken Fat (Preserved with Mixed Tocopherols), Natural Flavors, Citric Acid, Sorbic Acid (Preservative), Added Color (Caramel).",16.99,Soft & Chewy Cat Treats,"WholeHearted Chicken Flavor Soft-Filled Bites Cat Treats, 30 oz.",4.3
WholeHearted,Turkey liver.,8.99,Canned Cat Food,"WholeHearted Turkey Liver Freeze-Dried Cat Treats, 2 oz.",4.8
Petstages,Not Provided,5.59,Catnip & Cat Grass,"Petstages Crunchy Pickle Kicker Dental Catnip Cat Toy, Medium",4.4
Greenies,"Chicken, Glycerin, Wheat Flour, Wheat Gluten, Natural Catnip Flavor, Vegetable Oil, Dried Corn Syrup, Natural Flavor, Dried Chicken Liver, Vinegar, Sodium Bisulfate, Mixed Tocopherols and Citric Acid (preservatives), Rosemary Extract.",6.48,Catnip & Cat Grass,"Greenies Pill Pockets Catnip Flavor Natural Soft Cat Treats, 1.6 oz., Pack of 45",4.5
Blue Buffalo,"Salmon, Chicken Meal, Potato Starch, Peas, Brewers Dried Yeast, Chicken Fat, Natural Flavor, Citric Acid, Potassium Chloride, preserved with Mixed Tocopherols, Oil of Rosemary.",2.09,Kitten Treats,"Blue Buffalo Baby Blue Crunchies Natural Grain Free Savory Salmon Kitten Treats, 2 oz.",4.7
WholeHearted,"Chicken, Water sufficient for processing, Tapioca starch, Salt, Celery powder.",2.52,Natural Cat Treats,"WholeHearted Protein-Rich Chicken Filet Cat Treat, 1.06 oz.",4.8
Fancy Feast,"Liver Flavor, Beef Fat Preserved With Mixed-Tocopherols, Partially Hydrogenated Vegetable Oil, Brewers Dried Yeast, Natural Salmon Flavor. A642319.",4.99,Soft & Chewy Cat Treats,"Fancy Feast Limited Ingredient Savory Cravings Salmon Flavor Cat Treats, 3 oz.",4.5
Tomlyn,"Hydrolyzed Corn Starch, Malt Syrup, White Petroleum Usp, Molasses Extract, Soybean Oil, Light Mineral Oil Nf, Water, Hydrolyzed Collagen, Sodium Benzoate (Preservative), Natural And Artificial Flavors.",10.99,Catnip & Cat Grass,Tomlyn Laxatone Catnip Flavored Hairball Lubricant,4.3
Tiki Cat,"Tuna broth, tuna, dried egg, natural tuna flavor, natural chicken flavor, xanthan gum, fish extract, salt.",4.94,Grain Free Cat Treats,"Tiki Cat Stix Tuna Mousse Cat Treats, 0.5 oz., Count of 6",4.7
Temptations,"Chicken: Water, Chicken Liver, Chicken by-Product, Chicken, Pork Liver, Pork by-Product, Vegetable Oil, Glycine, Tapioca Starch, Dried Milk Protein, Xanthan Gum, Sodium Carboxymethylcellulose, Guar Gum, Cysteine, Taurine. Salmon: Water, Chicken Liver, Chicken by-Product, Salmon, Chicken, Pork Liver, Pork by-Product, Vegetable Oil, Glycine, Tapioca Starch, Dried Milk Protein, Xanthan Gum, Sodium Carboxymethylcellulose, Guar Gum, Cysteine, Taurine Please reference ingredient image for complete ingredient list.",8.98,Cat Treats,"Temptations Creamy Puree with Chicken and Salmon Lickable, Squeezable Cat Treats Variety Pack, 6.7 oz., Count of 16",4.8
Blue Buffalo,"Deboned Chicken, Deboned Salmon, Potatoes, Vegetable Glycerin, Gelatin, Natural Flavor, Salt, preserved with Phosphoric Acid, Sorbic Acid, Citric Acid and Mixed Tocopherols, Oil of Rosemary.",2.98,Grain Free Cat Treats,"Blue Buffalo Blue Wilderness Chicken & Salmon Cat Treats, 2 oz.",4.5
Greenies,"Chicken, Glycerin, Wheat Flour, Wheat Gluten, Vegetable Oil, Dried Corn Syrup, Natural Flavor, Dried Chicken Liver, Vinegar, Sodium Bisulfate, Mixed Tocopherols and Citric Acid (preservatives), Rosemary Extract.",10.98,Cat Treats,"Greenies Pill Pockets Chicken Flavor Natural Soft Cat Treats, 3 oz.",4.1
Greenies,"Chicken Meal, Ground Wheat, Brewers Rice, Corn Gluten Meal, Poultry Fat (preserved with Mixed Tocopherols), Oat Fiber, Natural Flavor, Ground Flaxseed, Brewers Dried Yeast, Potassium Chloride, Calcium Carbonate, Salt, Dried Catnip, Choline Chloride, Citric Acid (a preservative), Fruit Juice Color, Taurine, DL-Methionine, Mixed Tocopherols (a preservative), Vitamin E Supplement, Ferrous Sulfate, Turmeric Color, Zinc Sulfate, Niacin Supplement, Zinc Oxide, Copper Sulfate, D-Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Manganous Oxide, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Sodium Selenite, Folic Acid, Calcium Iodate, Cobalt Carbonate, Rosemary Extract.",3.28,Catnip & Cat Grass,"Greenies Natural Catnip Flavor Adult Dental Cat Treats, 2.1 oz.",4.6
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Shrimp & Salmon Flavor, Red #40, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",15.48,Crunchy Cat Treats,"Temptations MixUps Crunchy and Soft Cat Treats, Surfer's Delight Flavor, 30 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Brewers Dried Yeast, Natural Flavors, Potassium Chloride, Choline Chloride, Caramel Color, Salt, Taurine, DL-Methionine, Calcium Carbonate, Red #40, Vitamin E Supplement, Zinc Sulfate, Natural Beef Flavor, Natural Lobster Flavor, Ferrous Sulfate, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Citric Acid (preservative), Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Rosemary Extract, Biotin, Potassium Iodide, Folic Acid Please reference ingredient image for complete ingredient list.",3.98,Crunchy Cat Treats,"Temptations Seasonal Lobster and Beef Flavor Birthday Cat Treats, 6.3 oz.",4.8
KONG,Not Provided,6.99,Catnip & Cat Grass,KONG Refillables Hedgehog Cat Toy,4.8
WholeHearted,Salmon.,9.99,Cat Treats,"WholeHearted Salmon Freeze-Dried Cat Treats, 2 oz.",3.9
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Salmon Flavor, Red #40, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",8.48,Crunchy Cat Treats,"Temptations Jumbo Stuff Tasty Chicken Flavor Crunchy and Soft Cat Treats, 14 oz.",4.5
Leaps & Bounds,Not Provided,8.99,Crunchy Cat Treats,Leaps & Bounds Silvervine Sticks Cat Toy,4.0
Friskies,"Fish, Chicken Meal, Rice, Poultry By-Product Meal , Animal Fat Preserved With Mixed-Tocopherols, Barley, Corn Gluten Meal, Wheat Flour, Pea Starch, Natural Flavors, Salmon, Dried Yeast, Phosphoric Acid, Malted Barley Extract, Potassium Chloride, Sunflower Oil, Calcium Carbonate, Salt, Choline Chloride, Dehydrated Seaweed Meal, Dried Carrots, Dried Peas, VITAMINS (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Taurine, MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Citric Acid. F623120.",1.89,Crunchy Cat Treats,"Friskies Party Mix Natural Yums With Real Salmon and Vitamins, Minerals & Nutrients Cat Treats, 2.1 oz.",4.9
Blue Buffalo,"Deboned Chicken, Deboned Duck, Potatoes, Vegetable Glycerin, Gelatin, Natural Flavor, Salt, preserved with Phosphoric Acid, Sorbic Acid, Citric Acid and Mixed Tocopherols, Oil of Rosemary.",4.49,Cat Treats,"Blue Buffalo Blue Wilderness Chicken & Duck Cat Treats, 2 oz.",4.8
Blue Buffalo,"Salmon, Chicken Meal, Potato Starch, Peas, Brewers Dried Yeast, Chicken Fat, Natural Flavor, Citric Acid, Potassium Chloride, preserved with Mixed Tocopherols, Oil of Rosemary.",10.98,Crunchy Cat Treats,"Blue Buffalo Blue Wilderness Salmon Crunchy Cat Treats, 12 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Shrimp & Salmon Flavor, Red #40, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",23.98,Crunchy Cat Treats,"Temptations Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 48 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Caramel Color, Potassium Chloride, Choline Chloride, Salt, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Beef Flavor, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",3.99,Crunchy Cat Treats,"Temptations Classic Hearty Beef Flavor Cats Treats, 6.3 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Caramel Color, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Tuna Flavor, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please reference ingredient image for complete ingredient list.",15.48,Crunchy Cat Treats,"Temptations Classics Tempting Tuna Flavor Crunchy and Soft Cat Treats, 30 oz.",4.7
Blue Buffalo,"Duck, Chicken, Vegetable Glycerin, Pea Starch, Potatoes, Brewer's Dried Yeast, Dried Chicken Liver, Pea Protein, Chicken Broth, Oat Fiber, Gelatin, Natural Flavors, Distilled Vinegar, Colored with Paprika",4.98,Natural Cat Treats,"Blue Buffalo True Chews Natural Duck Chewy Cat Treats, 3 oz.",4.5
WholeHearted,Chicken Liver.,9.59,Crunchy Cat Treats,"WholeHearted Chicken Liver Freeze-Dried Cat Treats, 2 oz.",4.4
KONG,Not Provided,5.99,Catnip & Cat Grass,KONG 1OZ Premium Catnip,4.2
Blue Buffalo,"Salmon, Chicken Meal, Potato Starch, Peas, Brewers Dried Yeast, Chicken Fat, Natural Flavor, Citric Acid, Potassium Chloride, preserved with Mixed Tocopherols, Oil of Rosemary.",2.89,Cat Treats,"Blue Buffalo Blue Wilderness Salmon Flavor Crunchy Cat Treats, 2 oz.",4.7
Blue Buffalo,"Deboned Chicken, Chicken Meal, Brown Rice, Barley, Oatmeal, Peas, Chicken Fat, Natural Flavor, Glucono-Delta-Lactone, Potassium Chloride, preserved with Citric Acid and Mixed Tocopherols, Oil of Rosemary.",2.09,Crunchy Cat Treats,"Blue Buffalo Baby Blue Crunchies Natural Savory Chicken Kitten Treats, 2 oz.",4.7
WholeHearted,Tuna,2.29,Natural Cat Treats,"WholeHearted Protein-Rich Tuna Filet Cat Treat, 1 oz.",4.6
Blue Buffalo,"Deboned Chicken, Chicken Meal, Potato Starch, Peas, Brewers Dried Yeast, Chicken Fat, Natural Flavor, Citric Acid, Potassium Chloride, preserved with Mixed Tocopherols, Oil of Rosemary.",10.98,Crunchy Cat Treats,"Blue Buffalo Wilderness Chicken Crunchy Cat Treat, 12 oz.",4.7
Friskies,"Chicken By-Product Meal, Brewers Rice, Animal Fat Preserved With Mixed-Tocopherols, Corn Protein Meal, Animal Liver Flavor, Fish, Artificial And Natural Flavors, Turkey By-Product Meal, Phosphoric Acid, Calcium Carbonate, Dried Chicken Flavored Gravy, Brewers Dried Yeast, Salt, Choline Chloride, MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, L-Ascorbyl-2-Polyphosphate (Vitamin C), VITAMINS (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Yellow 5, Red 40, Citric Acid, Blue 2, Bha (A Preservative), Bht (A Preservative). C623321.",3.59,Crunchy Cat Treats,"Friskies Party Mix Gravylicious Crunch Chicken & Gravy Flavors Cat Treats, 6 oz.",4.9
Greenies,"Chicken Meal, Ground Wheat, Brewers Rice, Corn Gluten Meal, Poultry Fat (Preserved with Mixed Tocopherols), Oat Fiber, Natural Poultry Flavor, Ground Flaxseed, Brewers Dried Yeast, Tuna Flavor, Potassium Chloride, Calcium Carbonate, Salt, Choline Chloride, Citric Acid (a Preservative), Fruit Juice Color, Taurine, DL-Methionine, Mixed Tocopherols (a Preservative), DL-Alpha Tocopherol Acetate (Source of Vitamin E), Ferrous Sulfate, Turmeric Color, Zinc Sulfate, Niacin Supplement, Zinc Oxide, Copper Sulfate, D-Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Manganous Oxide, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Sodium Selenite, Folic Acid, Calcium Iodate, Cobalt Carbonate, Rosemary Extract.",22.98,Cat Dental Treats & Chews,"Feline Greenies Natural Tempting Tuna Flavor Adult Dental Cat Treats, 21 oz.",4.6
Friskies,Please see product packaging for details.,3.58,Crunchy Cat Treats,"Friskies Party Mix Lobster & Mac 'N' Cheese Flavors Cat Treats, 6 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Caramel Color, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Tuna Flavor, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please reference ingredient image for complete ingredient list.",8.48,Crunchy Cat Treats,"Temptations Jumbo Stuff Tempting Tuna Flavor Crunchy and Soft Cat Treats, 14 oz.",4.4
WholeHearted,"Water Sufficient For Processing, Salmon, Tapioca Starch, Sunflower Oil, Natural Flavor, Guar Gum",2.99,Freeze-Dried Treats,"Whole Hearted Salmon Recipe Squeezable Puree Cat Treats, 0.5 oz., Count of 4",4.8
PureBites,"Chicken, water, pumpkin, tapioca starch, inulin.",2.19,Cat Treats,"PureBites Squeezable Gut & Digestion Creamy Cat Treats, 2.5 oz.",4.2
Friskies,"Chicken, Chicken Meal, Brewers Rice, Chicken By-Product Meal, Animal Fat Preserved With Mixed-Tocopherols, Pea Starch, Corn Protein Meal, Liver Flavor, Barley, Brewers Dried Yeast, Natural And Artificial Flavors, Cassava Root Flour, Turkey By-Product Meal, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Choline Chloride, Bacon Flavor, Salt, Taurine, L-Ascorbyl-2-Polyphosphate (Vitamin C), VITAMINS (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Citric Acid, Yellow 6, Red 40, Blue 2, Bha (A Preservative), Bht (A Preservative). G619723.",3.58,Crunchy Cat Treats,"Friskies Party Mix California Crunch With Chicken Cat Treats, 6 oz.",4.8
Greenies,"Chicken Meal, Animal Fat (Preserved with Mixed Tocopherols), Brewers Rice, Ground Whole Wheat, Wheat Flour, Animal Plasma, Powdered Cellulose, Natural Flavor, Dried Plain Beet Pulp, Brewers Dried Yeast, Fruit Juice Color, Potassium Chloride, Choline Chloride, Dicalcium Phosphate, Salt, Taurine, DL-Methionine, Calcium Carbonate, Vitamin E Supplement, Zinc Sulfate, Mixed Tocopherols (preservative), Natural Tuna Flavor, Turmeric Color, Citric Acid, Ferrous Sulfate, Copper Sulfate, Vitamin A Supplement, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement (Vitamin B2), Rosemary Extract, Manganese Sulfate, Thiamine Mononitrate (Vitamin B1), D-Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Biotin, Potassium Iodide, Folic Acid.",19.98,Crunchy Cat Treats,"Greenies Smartbites Healthy Indoor Chicken Flavor Natural Treats For Cats, 16 oz.",4.7
PureBites,American Sourced Human Grade Chicken Breast.,9.99,Cat Treats,"PureBites Freeze Dried Chicken Breast Cat Treats, 2.3 oz.",4.7
